precision,recall
0.248898,1.000000
0.284193,0.998031
0.321066,0.996063
0.346154,0.992126
0.363968,0.982283
0.379468,0.982283
0.394612,0.980315
0.401619,0.976378
0.410108,0.974409
0.414430,0.972441
0.421233,0.968504
0.425846,0.966535
0.434129,0.966535
0.436997,0.962598
0.440433,0.960630
0.444040,0.960630
0.448942,0.960630
0.450185,0.960630
0.452271,0.960630
0.456075,0.960630
0.459510,0.960630
0.462998,0.960630
0.464627,0.956693
0.467308,0.956693
0.470930,0.956693
0.472303,0.956693
0.475073,0.956693
0.475490,0.954724
0.477362,0.954724
0.480198,0.954724
0.482072,0.952756
0.483000,0.950787
0.484422,0.948819
0.484359,0.944882
0.485830,0.944882
0.488301,0.944882
0.489275,0.942913
0.491786,0.942913
0.493292,0.940945
0.494289,0.937008
0.494792,0.935039
0.494781,0.933071
0.494748,0.927165
0.495789,0.927165
0.497360,0.927165
0.499470,0.927165
0.500000,0.923228
0.501068,0.923228
0.501078,0.915354
0.500539,0.913386
0.501625,0.911417
0.502726,0.907480
0.487119,0.818898
0.490476,0.811024
0.493349,0.803150
0.496333,0.799213
0.497512,0.787402
0.498731,0.773622
0.506739,0.740157
0.514164,0.714567
0.519118,0.694882
0.528073,0.685039
0.540373,0.685039
0.550239,0.679134
0.551387,0.665354
0.558333,0.659449
0.562925,0.651575
0.562500,0.637795
0.565603,0.627953
0.563406,0.612205
0.560074,0.596457
0.573333,0.592520
0.578125,0.582677
0.579477,0.566929
0.580042,0.549213
0.576674,0.525591
0.599520,0.492126
0.613811,0.472441
0.617978,0.433071
0.619195,0.393701
0.632107,0.372047
0.646209,0.352362
0.647773,0.314961
0.660714,0.291339
0.668269,0.273622
0.666667,0.251969
0.689655,0.236220
0.729167,0.206693
0.707965,0.157480
0.709302,0.120079
0.784314,0.078740
0.827586,0.047244
0.866667,0.025591
0.750000,0.011811
1.000000,0.005906
1.000000,0.001969
1.000000,0.001969
1.000000,0.000000
1.000000,0.000000
1.000000,0.000000
1.000000,0.000000
