fpr,tpr
1.000000,1.000000
0.833007,0.998031
0.697978,0.996063
0.621005,0.992126
0.568819,0.982283
0.532290,0.982283
0.498369,0.980315
0.482061,0.976378
0.464449,0.974409
0.455316,0.972441
0.440965,0.968504
0.431833,0.966535
0.417482,0.966535
0.410959,0.962598
0.404436,0.960630
0.398565,0.960630
0.390737,0.960630
0.388780,0.960630
0.385519,0.960630
0.379648,0.960630
0.374429,0.960630
0.369211,0.960630
0.365297,0.956693
0.361383,0.956693
0.356164,0.956693
0.354207,0.956693
0.350294,0.956693
0.348989,0.954724
0.346380,0.954724
0.342466,0.954724
0.339204,0.952756
0.337247,0.950787
0.334638,0.948819
0.333333,0.944882
0.331376,0.944882
0.328115,0.944882
0.326158,0.942913
0.322896,0.942913
0.320287,0.940945
0.317678,0.937008
0.316373,0.935039
0.315721,0.933071
0.313764,0.927165
0.312459,0.927165
0.310502,0.927165
0.307893,0.927165
0.305936,0.923228
0.304631,0.923228
0.302022,0.915354
0.302022,0.913386
0.300065,0.911417
0.297456,0.907480
0.285714,0.818898
0.279191,0.811024
0.273320,0.803150
0.268754,0.799213
0.263536,0.787402
0.257665,0.773622
0.238748,0.740157
0.223744,0.714567
0.213307,0.694882
0.202870,0.685039
0.193085,0.685039
0.183953,0.679134
0.179387,0.665354
0.172864,0.659449
0.167645,0.651575
0.164384,0.637795
0.159817,0.627953
0.157208,0.612205
0.155251,0.596457
0.146119,0.592520
0.140900,0.582677
0.136334,0.566929
0.131768,0.549213
0.127854,0.525591
0.108937,0.492126
0.098500,0.472441
0.088715,0.433071
0.080235,0.393701
0.071755,0.372047
0.063927,0.352362
0.056751,0.314961
0.049576,0.291339
0.045010,0.273622
0.041748,0.251969
0.035225,0.236220
0.025440,0.206693
0.021526,0.157480
0.016308,0.120079
0.007175,0.078740
0.003262,0.047244
0.001305,0.025591
0.001305,0.011811
0.000000,0.005906
0.000000,0.001969
0.000000,0.001969
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
