precision,recall
0.248898,1.000000
0.302741,1.000000
0.323567,1.000000
0.334431,1.000000
0.343284,0.996063
0.351464,0.992126
0.360000,0.992126
0.368421,0.992126
0.375934,0.990157
0.382331,0.988189
0.388199,0.984252
0.395570,0.984252
0.399520,0.982283
0.405053,0.978346
0.412448,0.978346
0.419056,0.978346
0.421902,0.978346
0.426357,0.974409
0.433071,0.974409
0.440391,0.974409
0.445045,0.972441
0.451142,0.972441
0.455217,0.970472
0.462911,0.970472
0.470363,0.968504
0.474903,0.968504
0.480431,0.966535
0.485119,0.962598
0.492447,0.962598
0.498975,0.958661
0.508882,0.958661
0.514286,0.956693
0.518797,0.950787
0.521265,0.940945
0.526726,0.931102
0.535068,0.931102
0.541190,0.931102
0.545139,0.927165
0.547897,0.923228
0.556355,0.913386
0.559710,0.913386
0.561661,0.905512
0.566131,0.901575
0.568040,0.895669
0.572152,0.889764
0.579355,0.883858
0.582129,0.872047
0.590120,0.870079
0.596206,0.866142
0.598349,0.856299
0.607293,0.852362
0.614184,0.852362
0.615495,0.844488
0.622807,0.838583
0.629349,0.818898
0.630603,0.803150
0.639553,0.789370
0.644013,0.783465
0.649587,0.773622
0.654237,0.759843
0.655766,0.750000
0.659091,0.742126
0.663102,0.732283
0.666667,0.728346
0.672161,0.722441
0.681905,0.704724
0.690196,0.692913
0.691235,0.683071
0.700205,0.671260
0.705263,0.659449
0.709677,0.649606
0.723214,0.637795
0.731818,0.633858
0.736111,0.625984
0.746411,0.614173
0.753086,0.600394
0.761538,0.584646
0.773684,0.578740
0.782369,0.559055
0.790831,0.543307
0.792169,0.517717
0.794953,0.496063
0.796774,0.486220
0.807309,0.478346
0.811644,0.466535
0.820144,0.448819
0.841699,0.429134
0.848980,0.409449
0.862661,0.395669
0.868182,0.375984
0.890000,0.350394
0.896739,0.324803
0.898204,0.295276
0.893333,0.263780
0.916667,0.238189
0.936937,0.204724
0.938776,0.181102
0.958333,0.135827
0.943396,0.098425
0.948718,0.072835
1.000000,0.000000
