threshold,fpr,tpr
0.0000,1.000000,1.000000
0.0100,0.780822,1.000000
0.0200,0.709720,0.998031
0.0300,0.669276,0.998031
0.0400,0.641226,0.998031
0.0500,0.621657,0.994094
0.0600,0.599478,0.994094
0.0700,0.579256,0.990157
0.0800,0.560992,0.990157
0.0900,0.541422,0.990157
0.1000,0.529028,0.986220
0.1100,0.519243,0.986220
0.1200,0.504240,0.986220
0.1300,0.485975,0.984252
0.1400,0.470320,0.980315
0.1500,0.454664,0.980315
0.1600,0.448141,0.978346
0.1700,0.436399,0.978346
0.1800,0.429224,0.978346
0.1900,0.420091,0.976378
0.2000,0.406393,0.976378
0.2100,0.401174,0.976378
0.2200,0.392694,0.974409
0.2300,0.382257,0.974409
0.2400,0.373777,0.970472
0.2500,0.366601,0.970472
0.2600,0.355512,0.968504
0.2700,0.347684,0.968504
0.2800,0.336595,0.964567
0.2900,0.330724,0.962598
0.3000,0.320287,0.958661
0.3100,0.312459,0.956693
0.3200,0.301370,0.956693
0.3300,0.294847,0.954724
0.3400,0.285714,0.954724
0.3500,0.278539,0.946850
0.3600,0.270059,0.938976
0.3700,0.262883,0.931102
0.3800,0.258317,0.925197
0.3900,0.252446,0.925197
0.4000,0.245923,0.919291
0.4100,0.240705,0.915354
0.4200,0.234834,0.913386
0.4300,0.227658,0.907480
0.4400,0.225049,0.903543
0.4500,0.221135,0.901575
0.4600,0.216569,0.893701
0.4700,0.210046,0.887795
0.4800,0.204827,0.875984
0.4900,0.201566,0.870079
0.5000,0.197652,0.866142
0.5100,0.195042,0.864173
0.5200,0.189172,0.862205
0.5300,0.183301,0.852362
0.5400,0.179387,0.844488
0.5500,0.176778,0.844488
0.5600,0.172211,0.836614
0.5700,0.169602,0.830709
0.5800,0.162427,0.820866
0.5900,0.155251,0.816929
0.6000,0.149380,0.803150
0.6100,0.144814,0.795276
0.6200,0.143509,0.779528
0.6300,0.135682,0.769685
0.6400,0.129159,0.759843
0.6500,0.124592,0.742126
0.6600,0.121331,0.728346
0.6700,0.116765,0.722441
0.6800,0.112851,0.704724
0.6900,0.104371,0.690945
0.7000,0.103066,0.679134
0.7100,0.097847,0.663386
0.7200,0.093933,0.647638
0.7300,0.089367,0.643701
0.7400,0.083496,0.631890
0.7500,0.075669,0.616142
0.7600,0.071102,0.610236
0.7700,0.067841,0.598425
0.7800,0.064579,0.588583
0.7900,0.056751,0.582677
0.8000,0.052185,0.564961
0.8100,0.046314,0.543307
0.8200,0.040444,0.527559
0.8300,0.038487,0.503937
0.8400,0.035877,0.490157
0.8500,0.033920,0.468504
0.8600,0.028702,0.456693
0.8700,0.024788,0.438976
0.8800,0.022831,0.421260
0.8900,0.019569,0.401575
0.9000,0.016308,0.379921
0.9100,0.011742,0.358268
0.9200,0.009785,0.332677
0.9300,0.008480,0.320866
0.9400,0.005871,0.279528
0.9500,0.004566,0.250000
0.9600,0.003914,0.214567
0.9700,0.002609,0.179134
0.9800,0.000652,0.145669
0.9900,0.000652,0.086614
1.0000,0.000000,0.000000
