fpr,tpr
1.000000,1.000000
0.933464,1.000000
0.863666,0.998031
0.816699,0.998031
0.767123,0.998031
0.734508,0.998031
0.702544,0.996063
0.676451,0.996063
0.656230,0.996063
0.633399,0.992126
0.620352,0.990157
0.606001,0.986220
0.592955,0.986220
0.581213,0.982283
0.563601,0.978346
0.554468,0.976378
0.543379,0.970472
0.533594,0.970472
0.525766,0.968504
0.515329,0.966535
0.510111,0.964567
0.501631,0.962598
0.491846,0.960630
0.484671,0.952756
0.479452,0.950787
0.468363,0.946850
0.463796,0.946850
0.452707,0.942913
0.439661,0.940945
0.430528,0.938976
0.423353,0.938976
0.416177,0.938976
0.408350,0.935039
0.403783,0.935039
0.393999,0.933071
0.384866,0.931102
0.380300,0.925197
0.371820,0.921260
0.363992,0.913386
0.359426,0.913386
0.352250,0.907480
0.342466,0.907480
0.333333,0.905512
0.322896,0.897638
0.314416,0.897638
0.305284,0.889764
0.294194,0.887795
0.283105,0.885827
0.272668,0.881890
0.258969,0.877953
0.248532,0.870079
0.240052,0.864173
0.229615,0.854331
0.222440,0.846457
0.210698,0.838583
0.200261,0.824803
0.193085,0.809055
0.185910,0.793307
0.180691,0.783465
0.171559,0.773622
0.166993,0.755906
0.158513,0.742126
0.148076,0.720472
0.142205,0.706693
0.135029,0.692913
0.129159,0.683071
0.125245,0.669291
0.119374,0.655512
0.113503,0.641732
0.107632,0.618110
0.099152,0.604331
0.088715,0.562992
0.080235,0.539370
0.073712,0.525591
0.070450,0.507874
0.065232,0.486220
0.056099,0.460630
0.051533,0.440945
0.047619,0.425197
0.045010,0.399606
0.041748,0.379921
0.038487,0.364173
0.035225,0.348425
0.033920,0.330709
0.032616,0.312992
0.028702,0.297244
0.026745,0.275591
0.024136,0.255906
0.020222,0.226378
0.017613,0.204724
0.017613,0.196850
0.015003,0.153543
0.011089,0.131890
0.009132,0.106299
0.007828,0.094488
0.005871,0.074803
0.004566,0.062992
0.002609,0.059055
0.001957,0.051181
0.001305,0.039370
0.000000,0.000000
