threshold,precision,recall
0.0000,0.248898,1.000000
0.0100,0.287006,1.000000
0.0200,0.303103,1.000000
0.0300,0.315136,1.000000
0.0400,0.323755,0.998031
0.0500,0.333993,0.996063
0.0600,0.343517,0.996063
0.0700,0.352368,0.996063
0.0800,0.362590,0.992126
0.0900,0.371577,0.988189
0.1000,0.378582,0.988189
0.1100,0.388244,0.988189
0.1200,0.391850,0.984252
0.1300,0.400000,0.984252
0.1400,0.406352,0.982283
0.1500,0.413134,0.978346
0.1600,0.419983,0.976378
0.1700,0.425990,0.974409
0.1800,0.431441,0.972441
0.1900,0.439003,0.970472
0.2000,0.447368,0.970472
0.2100,0.452709,0.970472
0.2200,0.458879,0.966535
0.2300,0.462488,0.958661
0.2400,0.469624,0.958661
0.2500,0.476004,0.956693
0.2600,0.480040,0.946850
0.2700,0.484391,0.946850
0.2800,0.490316,0.946850
0.2900,0.496881,0.940945
0.3000,0.506383,0.937008
0.3100,0.509169,0.929134
0.3200,0.516447,0.927165
0.3300,0.524499,0.927165
0.3400,0.531674,0.925197
0.3500,0.537037,0.913386
0.3600,0.543632,0.907480
0.3700,0.547080,0.903543
0.3800,0.555286,0.899606
0.3900,0.557055,0.893701
0.4000,0.562344,0.887795
0.4100,0.565990,0.877953
0.4200,0.562259,0.862205
0.4300,0.564036,0.858268
0.4400,0.569372,0.856299
0.4500,0.574468,0.850394
0.4600,0.574297,0.844488
0.4700,0.575881,0.836614
0.4800,0.579890,0.828740
0.4900,0.585434,0.822835
0.5000,0.592330,0.820866
0.5100,0.597968,0.811024
0.5200,0.608889,0.809055
0.5300,0.613534,0.803150
0.5400,0.619632,0.795276
0.5500,0.623053,0.787402
0.5600,0.624801,0.773622
0.5700,0.626817,0.763780
0.5800,0.635914,0.759843
0.5900,0.642373,0.746063
0.6000,0.650350,0.732283
0.6100,0.649819,0.708661
0.6200,0.656772,0.696850
0.6300,0.662879,0.688976
0.6400,0.668605,0.679134
0.6500,0.679283,0.671260
0.6600,0.686598,0.655512
0.6700,0.690678,0.641732
0.6800,0.698276,0.637795
0.6900,0.703057,0.633858
0.7000,0.709172,0.624016
0.7100,0.709091,0.614173
0.7200,0.715990,0.590551
0.7300,0.728395,0.580709
0.7400,0.746736,0.562992
0.7500,0.750670,0.551181
0.7600,0.752747,0.539370
0.7700,0.758523,0.525591
0.7800,0.761062,0.507874
0.7900,0.762048,0.498031
0.8000,0.775316,0.482283
0.8100,0.792079,0.472441
0.8200,0.803390,0.466535
0.8300,0.811594,0.440945
0.8400,0.813953,0.413386
0.8500,0.819672,0.393701
0.8600,0.822511,0.374016
0.8700,0.841121,0.354331
0.8800,0.848780,0.342520
0.8900,0.855615,0.314961
0.9000,0.853801,0.287402
0.9100,0.865385,0.265748
0.9200,0.865248,0.240157
0.9300,0.877049,0.210630
0.9400,0.907407,0.192913
0.9500,0.923077,0.165354
0.9600,0.926829,0.149606
0.9700,0.948276,0.108268
0.9800,0.926829,0.074803
0.9900,0.884615,0.045276
1.0000,1.000000,0.000000
