precision,recall
0.248898,1.000000
0.249754,1.000000
0.250370,1.000000
0.251734,1.000000
0.252234,1.000000
0.252862,1.000000
0.255020,1.000000
0.256825,1.000000
0.260646,1.000000
0.263349,1.000000
0.268074,1.000000
0.272240,1.000000
0.279121,1.000000
0.284116,1.000000
0.289294,1.000000
0.294767,0.998031
0.299468,0.998031
0.304636,0.996063
0.310049,0.996063
0.313275,0.994094
0.317150,0.990157
0.320562,0.988189
0.326186,0.988189
0.331791,0.988189
0.336467,0.986220
0.342213,0.986220
0.346127,0.976378
0.352063,0.974409
0.356115,0.974409
0.362372,0.974409
0.370037,0.972441
0.374615,0.958661
0.380503,0.952756
0.389968,0.948819
0.395677,0.937008
0.402908,0.927165
0.412755,0.917323
0.419091,0.907480
0.425234,0.895669
0.433237,0.887795
0.438856,0.875984
0.442308,0.860236
0.449686,0.844488
0.458065,0.838583
0.460687,0.818898
0.465614,0.812992
0.475967,0.799213
0.486618,0.787402
0.484395,0.763780
0.485934,0.748031
0.484085,0.718504
0.484932,0.696850
0.490728,0.677165
0.500756,0.651575
0.512039,0.627953
0.525043,0.598425
0.538462,0.578740
0.552529,0.559055
0.573222,0.539370
0.577878,0.503937
0.586288,0.488189
0.587342,0.456693
0.592391,0.429134
0.600567,0.417323
0.599415,0.403543
0.606154,0.387795
0.609272,0.362205
0.610345,0.348425
0.616487,0.338583
0.607692,0.311024
0.600823,0.287402
0.605263,0.271654
0.623188,0.253937
0.625000,0.236220
0.620879,0.222441
0.617978,0.216535
0.614458,0.200787
0.625806,0.190945
0.632653,0.183071
0.657143,0.181102
0.656716,0.173228
0.679688,0.171260
0.691057,0.167323
0.692308,0.159449
0.733333,0.151575
0.740000,0.145669
0.760417,0.143701
0.797753,0.139764
0.800000,0.133858
0.822785,0.127953
0.844156,0.127953
0.900000,0.124016
0.898551,0.122047
0.895522,0.118110
0.907692,0.116142
0.906250,0.114173
0.915254,0.106299
0.938776,0.090551
0.931034,0.053150
0.750000,0.011811
1.000000,0.000000
