fpr,tpr
1.000000,1.000000
0.995434,1.000000
0.992172,1.000000
0.984997,1.000000
0.982387,1.000000
0.979126,1.000000
0.968037,1.000000
0.958904,1.000000
0.939987,1.000000
0.926941,1.000000
0.904762,1.000000
0.885845,1.000000
0.855838,1.000000
0.834964,1.000000
0.814090,1.000000
0.791259,0.998031
0.773646,0.998031
0.753425,0.996063
0.734508,0.996063
0.722114,0.994094
0.706458,0.990157
0.694064,0.988189
0.676451,0.988189
0.659491,0.988189
0.644488,0.986220
0.628180,0.986220
0.611220,0.976378
0.594260,0.974409
0.583823,0.974409
0.568167,0.974409
0.548598,0.972441
0.530333,0.958661
0.514025,0.952756
0.491846,0.948819
0.474234,0.937008
0.455316,0.927165
0.432485,0.917323
0.416830,0.907480
0.401174,0.895669
0.384866,0.887795
0.371168,0.875984
0.359426,0.860236
0.342466,0.844488
0.328767,0.838583
0.317678,0.818898
0.309198,0.812992
0.291585,0.799213
0.275277,0.787402
0.269406,0.763780
0.262231,0.748031
0.253751,0.718504
0.245271,0.696850
0.232877,0.677165
0.215264,0.651575
0.198304,0.627953
0.179387,0.598425
0.164384,0.578740
0.150033,0.559055
0.133072,0.539370
0.121983,0.503937
0.114155,0.488189
0.106327,0.456693
0.097847,0.429134
0.091977,0.417323
0.089367,0.403543
0.083496,0.387795
0.076973,0.362205
0.073712,0.348425
0.069798,0.338583
0.066536,0.311024
0.063275,0.287402
0.058708,0.271654
0.050881,0.253937
0.046967,0.236220
0.045010,0.222441
0.044357,0.216535
0.041748,0.200787
0.037834,0.190945
0.035225,0.183071
0.031311,0.181102
0.030007,0.173228
0.026745,0.171260
0.024788,0.167323
0.023483,0.159449
0.018265,0.151575
0.016960,0.145669
0.015003,0.143701
0.011742,0.139764
0.011089,0.133858
0.009132,0.127953
0.007828,0.127953
0.004566,0.124016
0.004566,0.122047
0.004566,0.118110
0.003914,0.116142
0.003914,0.114173
0.003262,0.106299
0.001957,0.090551
0.001305,0.053150
0.001305,0.011811
0.000000,0.000000
