precision,recall
0.248898,1.000000
0.284116,1.000000
0.298939,0.998031
0.310049,0.996063
0.320456,0.996063
0.328999,0.996063
0.336667,0.994094
0.344027,0.992126
0.351012,0.990157
0.356991,0.990157
0.362392,0.990157
0.369039,0.990157
0.375562,0.986220
0.385088,0.986220
0.390320,0.984252
0.392744,0.980315
0.398719,0.980315
0.403737,0.978346
0.408567,0.976378
0.411471,0.974409
0.417369,0.974409
0.420068,0.972441
0.424504,0.968504
0.428447,0.966535
0.430592,0.958661
0.434978,0.954724
0.439312,0.954724
0.442308,0.950787
0.445161,0.950787
0.451734,0.948819
0.458532,0.946850
0.466926,0.944882
0.472332,0.940945
0.473579,0.935039
0.477341,0.933071
0.479675,0.929134
0.487526,0.923228
0.491579,0.919291
0.495736,0.915354
0.501082,0.911417
0.504940,0.905512
0.511706,0.903543
0.520455,0.901575
0.523536,0.897638
0.529686,0.895669
0.538553,0.893701
0.545783,0.891732
0.552147,0.885827
0.558750,0.879921
0.565385,0.868110
0.566406,0.856299
0.568602,0.848425
0.575269,0.842520
0.578445,0.834646
0.581492,0.828740
0.584270,0.818898
0.588319,0.812992
0.595029,0.801181
0.596413,0.785433
0.601208,0.783465
0.601838,0.773622
0.606532,0.767717
0.607874,0.759843
0.617264,0.746063
0.624585,0.740157
0.627551,0.726378
0.633508,0.714567
0.640288,0.700787
0.649156,0.681102
0.673307,0.665354
0.692632,0.647638
0.707317,0.627953
0.712644,0.610236
0.710900,0.590551
0.720588,0.578740
0.725849,0.547244
0.729730,0.531496
0.744318,0.515748
0.748521,0.498031
0.751592,0.464567
0.759322,0.440945
0.771429,0.425197
0.773234,0.409449
0.782101,0.395669
0.792373,0.368110
0.799107,0.352362
0.799043,0.328740
0.792553,0.293307
0.797688,0.271654
0.811321,0.253937
0.820896,0.216535
0.867769,0.206693
0.880734,0.188976
0.917526,0.175197
0.914634,0.147638
0.943662,0.131890
0.961538,0.098425
0.976190,0.080709
0.964286,0.053150
1.000000,0.031496
1.000000,0.000000
