fpr,tpr
1.000000,1.000000
0.834964,1.000000
0.775603,0.998031
0.734508,0.996063
0.699935,0.996063
0.673190,0.996063
0.649054,0.994094
0.626875,0.992126
0.606654,0.990157
0.590998,0.990157
0.577299,0.990157
0.560992,0.990157
0.543379,0.986220
0.521853,0.986220
0.509459,0.984252
0.502283,0.980315
0.489889,0.980315
0.478800,0.978346
0.468363,0.976378
0.461840,0.974409
0.450750,0.974409
0.444879,0.972441
0.435095,0.968504
0.427267,0.966535
0.420091,0.958661
0.410959,0.954724
0.403783,0.954724
0.397260,0.950787
0.392694,0.950787
0.381605,0.948819
0.370515,0.946850
0.357469,0.944882
0.348337,0.940945
0.344423,0.935039
0.338552,0.933071
0.333986,0.929134
0.321592,0.923228
0.315068,0.919291
0.308545,0.915354
0.300718,0.911417
0.294194,0.905512
0.285714,0.903543
0.275277,0.901575
0.270711,0.897638
0.263536,0.895669
0.253751,0.893701
0.245923,0.891732
0.238095,0.885827
0.230267,0.879921
0.221135,0.868110
0.217221,0.856299
0.213307,0.848425
0.206132,0.842520
0.201566,0.834646
0.197652,0.828740
0.193085,0.818898
0.188519,0.812992
0.180691,0.801181
0.176125,0.785433
0.172211,0.783465
0.169602,0.773622
0.165036,0.767717
0.162427,0.759843
0.153294,0.746063
0.147423,0.740157
0.142857,0.726378
0.136986,0.714567
0.130463,0.700787
0.121983,0.681102
0.106980,0.665354
0.095238,0.647638
0.086106,0.627953
0.081539,0.610236
0.079583,0.590551
0.074364,0.578740
0.068493,0.547244
0.065232,0.531496
0.058708,0.515748
0.055447,0.498031
0.050881,0.464567
0.046314,0.440945
0.041748,0.425197
0.039791,0.409449
0.036530,0.395669
0.031963,0.368110
0.029354,0.352362
0.027397,0.328740
0.025440,0.293307
0.022831,0.271654
0.019569,0.253937
0.015656,0.216535
0.010437,0.206693
0.008480,0.188976
0.005219,0.175197
0.004566,0.147638
0.002609,0.131890
0.001305,0.098425
0.000652,0.080709
0.000652,0.053150
0.000000,0.031496
0.000000,0.000000
