precision,recall
0.263171,1.000000
0.315419,1.000000
0.330456,0.998138
0.340967,0.998138
0.349984,0.998138
0.358794,0.997207
0.366279,0.997207
0.373561,0.997207
0.380647,0.996276
0.386142,0.996276
0.392489,0.992551
0.398948,0.988827
0.403810,0.986965
0.409354,0.986034
0.415228,0.985102
0.420278,0.984171
0.423865,0.982309
0.426775,0.979516
0.429506,0.978585
0.434064,0.977654
0.439229,0.975791
0.443033,0.973929
0.448542,0.973929
0.452340,0.972067
0.456417,0.970205
0.460858,0.970205
0.464334,0.963687
0.469304,0.960894
0.475069,0.958101
0.481013,0.955307
0.484590,0.951583
0.489668,0.948790
0.492711,0.944134
0.496311,0.939479
0.500746,0.937616
0.504523,0.934823
0.509934,0.932030
0.514729,0.927374
0.520757,0.922719
0.524468,0.918063
0.530205,0.915270
0.537240,0.913408
0.542571,0.907821
0.548387,0.902235
0.552436,0.897579
0.558411,0.890130
0.565680,0.890130
0.568168,0.880819
0.572473,0.875233
0.579926,0.871508
0.584383,0.864060
0.587068,0.853818
0.590879,0.844507
0.593480,0.830540
0.597420,0.819367
0.603317,0.812849
0.609397,0.809125
0.615823,0.804469
0.624909,0.798883
0.628508,0.792365
0.631264,0.785847
0.638655,0.778399
0.641085,0.770019
0.647898,0.760708
0.651576,0.750466
0.656741,0.739292
0.662447,0.730912
0.665808,0.721601
0.671695,0.704842
0.681359,0.690875
0.684957,0.674115
0.692308,0.653631
0.704782,0.631285
0.708423,0.610801
0.720772,0.591248
0.730905,0.579143
0.738386,0.562384
0.746803,0.543762
0.753036,0.519553
0.765625,0.501862
0.770710,0.485102
0.774885,0.471136
0.785484,0.453445
0.793162,0.432030
0.805054,0.415270
0.814313,0.391993
0.812890,0.364060
0.817156,0.337058
0.842640,0.309125
0.847222,0.283985
0.869969,0.261639
0.892361,0.239292
0.897233,0.211359
0.903509,0.191806
0.898990,0.165736
0.932515,0.141527
0.945578,0.129423
0.935484,0.108007
0.913978,0.079143
0.881356,0.048417
1.000000,0.000000
