fpr,tpr
1.000000,1.000000
0.775191,1.000000
0.722315,0.998138
0.689059,0.998138
0.662122,0.998138
0.636515,0.997207
0.616229,0.997207
0.597273,0.997207
0.578982,0.996276
0.565680,0.996276
0.548720,0.992551
0.532092,0.988827
0.520452,0.986965
0.508148,0.986034
0.495510,0.985102
0.484869,0.984171
0.476887,0.982309
0.469904,0.979516
0.464250,0.978585
0.455271,0.977654
0.444962,0.975791
0.437313,0.973929
0.427669,0.973929
0.420353,0.972067
0.412704,0.970205
0.405387,0.970205
0.397073,0.963687
0.388094,0.960894
0.378118,0.958101
0.368141,0.955307
0.361490,0.951583
0.353176,0.948790
0.347190,0.944134
0.340539,0.939479
0.333888,0.937616
0.327902,0.934823
0.319920,0.932030
0.312271,0.927374
0.303292,0.922719
0.297306,0.918063
0.289657,0.915270
0.281011,0.913408
0.273362,0.907821
0.265381,0.902235
0.259727,0.897579
0.251413,0.890130
0.244097,0.890130
0.239109,0.880819
0.233455,0.875233
0.225474,0.871508
0.219488,0.864060
0.214500,0.853818
0.208846,0.844507
0.203193,0.830540
0.197207,0.819367
0.190888,0.812849
0.185234,0.809125
0.179248,0.804469
0.171267,0.798883
0.167276,0.792365
0.163951,0.785847
0.157300,0.778399
0.153974,0.770019
0.147655,0.760708
0.143332,0.750466
0.138011,0.739292
0.133023,0.730912
0.129365,0.721601
0.123046,0.704842
0.115397,0.690875
0.110742,0.674115
0.103758,0.653631
0.094446,0.631285
0.089790,0.610801
0.081809,0.591248
0.076156,0.579143
0.071167,0.562384
0.065846,0.543762
0.060858,0.519553
0.054872,0.501862
0.051546,0.485102
0.048886,0.471136
0.044230,0.453445
0.040239,0.432030
0.035916,0.415270
0.031926,0.391993
0.029930,0.364060
0.026937,0.337058
0.020619,0.309125
0.018291,0.283985
0.013967,0.261639
0.010309,0.239292
0.008646,0.211359
0.007316,0.191806
0.006651,0.165736
0.003658,0.141527
0.002660,0.129423
0.002660,0.108007
0.002660,0.079143
0.002328,0.048417
0.000000,0.000000
