threshold,precision,recall
0.0000,0.248898,1.000000
0.0100,0.248898,1.000000
0.0200,0.248898,1.000000
0.0300,0.249020,1.000000
0.0400,0.249142,1.000000
0.0500,0.249142,1.000000
0.0600,0.249386,1.000000
0.0700,0.249386,1.000000
0.0800,0.249386,1.000000
0.0900,0.249877,1.000000
0.1000,0.250123,1.000000
0.1100,0.250493,1.000000
0.1200,0.251485,1.000000
0.1300,0.252234,1.000000
0.1400,0.253746,1.000000
0.1500,0.256436,1.000000
0.1600,0.259714,1.000000
0.1700,0.264997,1.000000
0.1800,0.271513,1.000000
0.1900,0.279428,1.000000
0.2000,0.288068,0.998031
0.2100,0.297822,0.996063
0.2200,0.308349,0.996063
0.2300,0.318411,0.994094
0.2400,0.329620,0.990157
0.2500,0.340353,0.986220
0.2600,0.353107,0.984252
0.2700,0.366446,0.980315
0.2800,0.374714,0.968504
0.2900,0.385839,0.954724
0.3000,0.396072,0.952756
0.3100,0.407439,0.948819
0.3200,0.414186,0.931102
0.3300,0.422624,0.919291
0.3400,0.430451,0.901575
0.3500,0.436293,0.889764
0.3600,0.442672,0.874016
0.3700,0.453512,0.864173
0.3800,0.457143,0.850394
0.3900,0.465293,0.844488
0.4000,0.471175,0.836614
0.4100,0.477169,0.822835
0.4200,0.474359,0.801181
0.4300,0.479142,0.791339
0.4400,0.487775,0.785433
0.4500,0.490590,0.769685
0.4600,0.489664,0.746063
0.4700,0.490013,0.724409
0.4800,0.490358,0.700787
0.4900,0.493056,0.698819
0.5000,0.496423,0.683071
0.5100,0.497067,0.667323
0.5200,0.491018,0.645669
0.5300,0.494656,0.637795
0.5400,0.496855,0.622047
0.5500,0.495961,0.604331
0.5600,0.499174,0.594488
0.5700,0.502547,0.582677
0.5800,0.500000,0.566929
0.5900,0.500904,0.545276
0.6000,0.516441,0.525591
0.6100,0.529897,0.505906
0.6200,0.551802,0.482283
0.6300,0.564039,0.450787
0.6400,0.580311,0.440945
0.6500,0.590164,0.425197
0.6600,0.593567,0.399606
0.6700,0.598784,0.387795
0.6800,0.591772,0.368110
0.6900,0.604651,0.358268
0.7000,0.611684,0.350394
0.7100,0.604317,0.330709
0.7200,0.603846,0.309055
0.7300,0.602362,0.301181
0.7400,0.616327,0.297244
0.7500,0.623894,0.277559
0.7600,0.626794,0.257874
0.7700,0.647668,0.246063
0.7800,0.650273,0.234252
0.7900,0.672414,0.230315
0.8000,0.681250,0.214567
0.8100,0.682432,0.198819
0.8200,0.692308,0.194882
0.8300,0.704545,0.183071
0.8400,0.720000,0.177165
0.8500,0.715447,0.173228
0.8600,0.739130,0.167323
0.8700,0.745455,0.161417
0.8800,0.776699,0.157480
0.8900,0.775510,0.149606
0.9000,0.789474,0.147638
0.9100,0.831461,0.145669
0.9200,0.867470,0.141732
0.9300,0.896104,0.135827
0.9400,0.904110,0.129921
0.9500,0.938462,0.120079
0.9600,0.934426,0.112205
0.9700,0.931034,0.106299
0.9800,0.894737,0.066929
0.9900,0.833333,0.029528
1.0000,1.000000,0.000000
