threshold,fpr,tpr
0.0000,1.000000,1.000000
0.0100,1.000000,1.000000
0.0200,1.000000,1.000000
0.0300,0.999348,1.000000
0.0400,0.998695,1.000000
0.0500,0.998695,1.000000
0.0600,0.997391,1.000000
0.0700,0.997391,1.000000
0.0800,0.997391,1.000000
0.0900,0.994781,1.000000
0.1000,0.993477,1.000000
0.1100,0.991520,1.000000
0.1200,0.986301,1.000000
0.1300,0.982387,1.000000
0.1400,0.974560,1.000000
0.1500,0.960861,1.000000
0.1600,0.944553,1.000000
0.1700,0.919113,1.000000
0.1800,0.889106,1.000000
0.1900,0.854534,1.000000
0.2000,0.817352,0.998031
0.2100,0.778213,0.996063
0.2200,0.740378,0.996063
0.2300,0.705153,0.994094
0.2400,0.667319,0.990157
0.2500,0.633399,0.986220
0.2600,0.597521,0.984252
0.2700,0.561644,0.980315
0.2800,0.535551,0.968504
0.2900,0.503588,0.954724
0.3000,0.481409,0.952756
0.3100,0.457273,0.948819
0.3200,0.436399,0.931102
0.3300,0.416177,0.919291
0.3400,0.395303,0.901575
0.3500,0.380952,0.889764
0.3600,0.364644,0.874016
0.3700,0.345075,0.864173
0.3800,0.334638,0.850394
0.3900,0.321592,0.844488
0.4000,0.311155,0.836614
0.4100,0.298761,0.822835
0.4200,0.294194,0.801181
0.4300,0.285062,0.791339
0.4400,0.273320,0.785433
0.4500,0.264840,0.769685
0.4600,0.257665,0.746063
0.4700,0.249837,0.724409
0.4800,0.241357,0.700787
0.4900,0.238095,0.698819
0.5000,0.229615,0.683071
0.5100,0.223744,0.667323
0.5200,0.221787,0.645669
0.5300,0.215917,0.637795
0.5400,0.208741,0.622047
0.5500,0.203523,0.604331
0.5600,0.197652,0.594488
0.5700,0.191129,0.582677
0.5800,0.187867,0.566929
0.5900,0.180039,0.545276
0.6000,0.163079,0.525591
0.6100,0.148728,0.505906
0.6200,0.129811,0.482283
0.6300,0.115460,0.450787
0.6400,0.105675,0.440945
0.6500,0.097847,0.425197
0.6600,0.090672,0.399606
0.6700,0.086106,0.387795
0.6800,0.084149,0.368110
0.6900,0.077626,0.358268
0.7000,0.073712,0.350394
0.7100,0.071755,0.330709
0.7200,0.067189,0.309055
0.7300,0.065884,0.301181
0.7400,0.061318,0.297244
0.7500,0.055447,0.277559
0.7600,0.050881,0.257874
0.7700,0.044357,0.246063
0.7800,0.041748,0.234252
0.7900,0.037182,0.230315
0.8000,0.033268,0.214567
0.8100,0.030659,0.198819
0.8200,0.028702,0.194882
0.8300,0.025440,0.183071
0.8400,0.022831,0.177165
0.8500,0.022831,0.173228
0.8600,0.019569,0.167323
0.8700,0.018265,0.161417
0.8800,0.015003,0.157480
0.8900,0.014351,0.149606
0.9000,0.013046,0.147638
0.9100,0.009785,0.145669
0.9200,0.007175,0.141732
0.9300,0.005219,0.135827
0.9400,0.004566,0.129921
0.9500,0.002609,0.120079
0.9600,0.002609,0.112205
0.9700,0.002609,0.106299
0.9800,0.002609,0.066929
0.9900,0.001957,0.029528
1.0000,0.000000,0.000000
