threshold,precision,recall
0.0000,0.248898,1.000000
0.0100,0.321926,1.000000
0.0200,0.340955,0.998031
0.0300,0.353846,0.996063
0.0400,0.366667,0.996063
0.0500,0.374629,0.994094
0.0600,0.384323,0.994094
0.0700,0.390661,0.988189
0.0800,0.400480,0.986220
0.0900,0.407830,0.984252
0.1000,0.415628,0.984252
0.1100,0.422523,0.982283
0.1200,0.429802,0.982283
0.1300,0.440813,0.982283
0.1400,0.444942,0.978346
0.1500,0.447345,0.978346
0.1600,0.452968,0.976378
0.1700,0.458758,0.974409
0.1800,0.464789,0.974409
0.1900,0.470532,0.974409
0.2000,0.477295,0.972441
0.2100,0.489109,0.972441
0.2200,0.492986,0.968504
0.2300,0.501020,0.966535
0.2400,0.509356,0.964567
0.2500,0.513144,0.960630
0.2600,0.518637,0.958661
0.2700,0.526544,0.956693
0.2800,0.530769,0.950787
0.2900,0.536151,0.948819
0.3000,0.544633,0.948819
0.3100,0.553882,0.940945
0.3200,0.558824,0.935039
0.3300,0.561905,0.929134
0.3400,0.565742,0.923228
0.3500,0.569343,0.921260
0.3600,0.577065,0.921260
0.3700,0.586164,0.917323
0.3800,0.587642,0.917323
0.3900,0.593112,0.915354
0.4000,0.596154,0.915354
0.4100,0.600259,0.913386
0.4200,0.604468,0.905512
0.4300,0.607527,0.889764
0.4400,0.612772,0.887795
0.4500,0.618656,0.887795
0.4600,0.621547,0.885827
0.4700,0.623955,0.881890
0.4800,0.627809,0.879921
0.4900,0.633903,0.875984
0.5000,0.636624,0.875984
0.5100,0.638329,0.872047
0.5200,0.642336,0.866142
0.5300,0.644640,0.864173
0.5400,0.648286,0.856299
0.5500,0.651908,0.840551
0.5600,0.657321,0.830709
0.5700,0.661905,0.820866
0.5800,0.667205,0.812992
0.5900,0.669408,0.801181
0.6000,0.675630,0.791339
0.6100,0.677530,0.777559
0.6200,0.677249,0.755906
0.6300,0.690346,0.746063
0.6400,0.690566,0.720472
0.6500,0.699612,0.710630
0.6600,0.704950,0.700787
0.6700,0.708835,0.694882
0.6800,0.718367,0.692913
0.6900,0.728814,0.677165
0.7000,0.747807,0.671260
0.7100,0.757848,0.665354
0.7200,0.768519,0.653543
0.7300,0.769596,0.637795
0.7400,0.778049,0.627953
0.7500,0.781638,0.620079
0.7600,0.791237,0.604331
0.7700,0.797872,0.590551
0.7800,0.805556,0.570866
0.7900,0.811047,0.549213
0.8000,0.818731,0.533465
0.8100,0.818750,0.515748
0.8200,0.829032,0.505906
0.8300,0.838926,0.492126
0.8400,0.850694,0.482283
0.8500,0.854545,0.462598
0.8600,0.865385,0.442913
0.8700,0.870079,0.435039
0.8800,0.876033,0.417323
0.8900,0.890351,0.399606
0.9000,0.915888,0.385827
0.9100,0.925373,0.366142
0.9200,0.940860,0.344488
0.9300,0.954286,0.328740
0.9400,0.955975,0.299213
0.9500,0.958333,0.271654
0.9600,0.968000,0.238189
0.9700,0.962617,0.202756
0.9800,0.988372,0.167323
0.9900,0.984375,0.124016
1.0000,1.000000,0.000000
