precision,recall
0.248898,1.000000
0.282828,0.992126
0.308589,0.990157
0.328740,0.986220
0.343945,0.978346
0.356371,0.974409
0.369679,0.974409
0.381173,0.972441
0.392516,0.970472
0.399514,0.970472
0.407131,0.966535
0.415959,0.964567
0.423143,0.964567
0.430212,0.958661
0.438233,0.956693
0.443026,0.956693
0.450233,0.952756
0.455146,0.948819
0.458453,0.944882
0.463698,0.942913
0.466862,0.942913
0.471344,0.938976
0.474576,0.937008
0.475475,0.935039
0.479757,0.933071
0.483673,0.933071
0.486154,0.933071
0.488636,0.931102
0.491684,0.931102
0.495268,0.927165
0.497881,0.925197
0.498929,0.917323
0.501075,0.917323
0.501629,0.909449
0.503834,0.905512
0.511111,0.905512
0.516310,0.903543
0.516930,0.901575
0.520501,0.899606
0.524249,0.893701
0.525088,0.885827
0.525761,0.883858
0.537081,0.883858
0.541616,0.883858
0.545676,0.881890
0.551171,0.879921
0.556804,0.877953
0.560302,0.877953
0.560606,0.874016
0.540940,0.793307
0.547814,0.789370
0.549587,0.785433
0.553547,0.783465
0.557584,0.781496
0.561254,0.775591
0.563401,0.769685
0.567686,0.767717
0.570175,0.767717
0.575893,0.761811
0.582451,0.757874
0.583717,0.748031
0.587227,0.742126
0.588608,0.732283
0.586538,0.720472
0.592170,0.714567
0.596639,0.698819
0.597270,0.688976
0.603509,0.677165
0.601083,0.655512
0.604089,0.639764
0.609195,0.625984
0.613725,0.616142
0.617587,0.594488
0.622881,0.578740
0.632967,0.566929
0.648402,0.559055
0.655660,0.547244
0.666667,0.539370
0.681013,0.529528
0.689655,0.511811
0.698370,0.505906
0.703170,0.480315
0.723404,0.468504
0.733333,0.433071
0.743682,0.405512
0.740310,0.375984
0.753304,0.336614
0.765000,0.301181
0.781818,0.253937
0.787879,0.204724
0.780000,0.153543
0.815385,0.104331
0.800000,0.070866
0.785714,0.043307
0.777778,0.027559
0.800000,0.015748
0.833333,0.009843
0.666667,0.003937
1.000000,0.000000
1.000000,0.000000
1.000000,0.000000
