fpr,tpr
1.000000,1.000000
0.833659,0.992126
0.735160,0.990157
0.667319,0.986220
0.618395,0.978346
0.583170,0.974409
0.550554,0.974409
0.523157,0.972441
0.497717,0.970472
0.483366,0.970472
0.466406,0.966535
0.448793,0.964567
0.435747,0.964567
0.420744,0.958661
0.406393,0.956693
0.398565,0.956693
0.385519,0.952756
0.376386,0.948819
0.369863,0.944882
0.361383,0.942913
0.356817,0.942913
0.348989,0.938976
0.343770,0.937008
0.341813,0.935039
0.335290,0.933071
0.330072,0.933071
0.326810,0.933071
0.322896,0.931102
0.318982,0.931102
0.313112,0.927165
0.309198,0.925197
0.305284,0.917323
0.302674,0.917323
0.299413,0.909449
0.295499,0.905512
0.287019,0.905512
0.280496,0.903543
0.279191,0.901575
0.274625,0.899606
0.268754,0.893701
0.265492,0.885827
0.264188,0.883858
0.252446,0.883858
0.247880,0.883858
0.243314,0.881890
0.237443,0.879921
0.231572,0.877953
0.228311,0.877953
0.227006,0.874016
0.223092,0.793307
0.215917,0.789370
0.213307,0.785433
0.209393,0.783465
0.205479,0.781496
0.200913,0.775591
0.197652,0.769685
0.193738,0.767717
0.191781,0.767717
0.185910,0.761811
0.180039,0.757874
0.176778,0.748031
0.172864,0.742126
0.169602,0.732283
0.168297,0.720472
0.163079,0.714567
0.156556,0.698819
0.153947,0.688976
0.147423,0.677165
0.144162,0.655512
0.138943,0.639764
0.133072,0.625984
0.128506,0.616142
0.121983,0.594488
0.116112,0.578740
0.108937,0.566929
0.100457,0.559055
0.095238,0.547244
0.089367,0.539370
0.082192,0.529528
0.076321,0.511811
0.072407,0.505906
0.067189,0.480315
0.059361,0.468504
0.052185,0.433071
0.046314,0.405512
0.043705,0.375984
0.036530,0.336614
0.030659,0.301181
0.023483,0.253937
0.018265,0.204724
0.014351,0.153543
0.007828,0.104331
0.005871,0.070866
0.003914,0.043307
0.002609,0.027559
0.001305,0.015748
0.000652,0.009843
0.000652,0.003937
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
