threshold,precision,recall
0.0000,0.248898,1.000000
0.0100,0.276747,0.998031
0.0200,0.291045,0.998031
0.0300,0.302506,0.998031
0.0400,0.313932,0.998031
0.0500,0.323736,0.996063
0.0600,0.332237,0.994094
0.0700,0.343324,0.992126
0.0800,0.347826,0.992126
0.0900,0.358209,0.992126
0.1000,0.363834,0.986220
0.1100,0.374160,0.986220
0.1200,0.381569,0.986220
0.1300,0.390796,0.986220
0.1400,0.398089,0.984252
0.1500,0.403069,0.982283
0.1600,0.408347,0.982283
0.1700,0.412791,0.978346
0.1800,0.419273,0.976378
0.1900,0.425258,0.974409
0.2000,0.429565,0.972441
0.2100,0.434513,0.966535
0.2200,0.441547,0.966535
0.2300,0.445662,0.960630
0.2400,0.451017,0.960630
0.2500,0.453782,0.956693
0.2600,0.459562,0.950787
0.2700,0.463320,0.944882
0.2800,0.469832,0.935039
0.2900,0.473526,0.933071
0.3000,0.478305,0.933071
0.3100,0.483673,0.933071
0.3200,0.490155,0.931102
0.3300,0.493671,0.921260
0.3400,0.498396,0.917323
0.3500,0.504329,0.917323
0.3600,0.510428,0.915354
0.3700,0.515017,0.911417
0.3800,0.520951,0.905512
0.3900,0.528324,0.899606
0.4000,0.531067,0.891732
0.4100,0.534198,0.891732
0.4200,0.539379,0.889764
0.4300,0.545012,0.881890
0.4400,0.548585,0.877953
0.4500,0.550743,0.875984
0.4600,0.556258,0.866142
0.4700,0.561133,0.858268
0.4800,0.565046,0.846457
0.4900,0.568393,0.842520
0.5000,0.574324,0.836614
0.5100,0.579670,0.830709
0.5200,0.581590,0.820866
0.5300,0.584397,0.811024
0.5400,0.588745,0.803150
0.5500,0.593842,0.797244
0.5600,0.602134,0.777559
0.5700,0.607199,0.763780
0.5800,0.612800,0.753937
0.5900,0.620066,0.742126
0.6000,0.628183,0.728346
0.6100,0.644366,0.720472
0.6200,0.656987,0.712598
0.6300,0.657407,0.698819
0.6400,0.666667,0.692913
0.6500,0.669276,0.673228
0.6600,0.678068,0.663386
0.6700,0.683673,0.659449
0.6800,0.689727,0.647638
0.6900,0.699134,0.635827
0.7000,0.701124,0.614173
0.7100,0.710046,0.612205
0.7200,0.710280,0.598425
0.7300,0.715663,0.584646
0.7400,0.728180,0.574803
0.7500,0.737113,0.562992
0.7600,0.742706,0.551181
0.7700,0.756983,0.533465
0.7800,0.758017,0.511811
0.7900,0.772308,0.494094
0.8000,0.774194,0.472441
0.8100,0.779264,0.458661
0.8200,0.783972,0.442913
0.8300,0.794118,0.425197
0.8400,0.802372,0.399606
0.8500,0.809322,0.375984
0.8600,0.804444,0.356299
0.8700,0.813084,0.342520
0.8800,0.825000,0.324803
0.8900,0.835106,0.309055
0.9000,0.840237,0.279528
0.9100,0.848684,0.253937
0.9200,0.875912,0.236220
0.9300,0.887097,0.216535
0.9400,0.905172,0.206693
0.9500,0.897959,0.173228
0.9600,0.950617,0.151575
0.9700,0.957746,0.133858
0.9800,0.976190,0.080709
0.9900,0.961538,0.049213
1.0000,1.000000,0.000000
