threshold,fpr,tpr
0.0000,1.000000,1.000000
0.0100,0.864318,0.998031
0.0200,0.805610,0.998031
0.0300,0.762557,0.998031
0.0400,0.722766,0.998031
0.0500,0.689498,0.996063
0.0600,0.662100,0.994094
0.0700,0.628832,0.992126
0.0800,0.616438,0.992126
0.0900,0.589041,0.992126
0.1000,0.571429,0.986220
0.1100,0.546641,0.986220
0.1200,0.529680,0.986220
0.1300,0.509459,0.986220
0.1400,0.493151,0.984252
0.1500,0.482061,0.982283
0.1600,0.471624,0.982283
0.1700,0.461187,0.978346
0.1800,0.448141,0.976378
0.1900,0.436399,0.974409
0.2000,0.427919,0.972441
0.2100,0.416830,0.966535
0.2200,0.405088,0.966535
0.2300,0.395956,0.960630
0.2400,0.387476,0.960630
0.2500,0.381605,0.956693
0.2600,0.370515,0.950787
0.2700,0.362688,0.944882
0.2800,0.349641,0.935039
0.2900,0.343770,0.933071
0.3000,0.337247,0.933071
0.3100,0.330072,0.933071
0.3200,0.320939,0.931102
0.3300,0.313112,0.921260
0.3400,0.305936,0.917323
0.3500,0.298761,0.917323
0.3600,0.290933,0.915354
0.3700,0.284410,0.911417
0.3800,0.275930,0.905512
0.3900,0.266145,0.899606
0.4000,0.260926,0.891732
0.4100,0.257665,0.891732
0.4200,0.251794,0.889764
0.4300,0.243966,0.881890
0.4400,0.239400,0.877953
0.4500,0.236791,0.875984
0.4600,0.228963,0.866142
0.4700,0.222440,0.858268
0.4800,0.215917,0.846457
0.4900,0.212003,0.842520
0.5000,0.205479,0.836614
0.5100,0.199609,0.830709
0.5200,0.195695,0.820866
0.5300,0.191129,0.811024
0.5400,0.185910,0.803150
0.5500,0.180691,0.797244
0.5600,0.170254,0.777559
0.5700,0.163731,0.763780
0.5800,0.157860,0.753937
0.5900,0.150685,0.742126
0.6000,0.142857,0.728346
0.6100,0.131768,0.720472
0.6200,0.123288,0.712598
0.6300,0.120678,0.698819
0.6400,0.114808,0.692913
0.6500,0.110241,0.673228
0.6600,0.104371,0.663386
0.6700,0.101109,0.659449
0.6800,0.096543,0.647638
0.6900,0.090672,0.635827
0.7000,0.086758,0.614173
0.7100,0.082844,0.612205
0.7200,0.080887,0.598425
0.7300,0.076973,0.584646
0.7400,0.071102,0.574803
0.7500,0.066536,0.562992
0.7600,0.063275,0.551181
0.7700,0.056751,0.533465
0.7800,0.054142,0.511811
0.7900,0.048271,0.494094
0.8000,0.045662,0.472441
0.8100,0.043053,0.458661
0.8200,0.040444,0.442913
0.8300,0.036530,0.425197
0.8400,0.032616,0.399606
0.8500,0.029354,0.375984
0.8600,0.028702,0.356299
0.8700,0.026093,0.342520
0.8800,0.022831,0.324803
0.8900,0.020222,0.309055
0.9000,0.017613,0.279528
0.9100,0.015003,0.253937
0.9200,0.011089,0.236220
0.9300,0.009132,0.216535
0.9400,0.007175,0.206693
0.9500,0.006523,0.173228
0.9600,0.002609,0.151575
0.9700,0.001957,0.133858
0.9800,0.000652,0.080709
0.9900,0.000652,0.049213
1.0000,0.000000,0.000000
